officerid,count,name,dept
RobertSammarroNewark,2,Robert Sammarro,"Newark, Essex County"
JeffreyMPerezWillingBoro,2,Jeffrey M Perez,"Willing Boro, Burlington County"
JeffreyMPaglioMonroe,2,Jeffrey M Paglio,"Monroe, Middlesex County"
JeffreyMMcGuiganFranklinTownship,2,Jeffrey M McGuigan,"Franklin Township, Gloucester County"
RobertSchwartzCamden,2,Robert Schwartz,"Camden, Camden County"
JeffreyMarinoEastBrunswick,2,Jeffrey Marino,"East Brunswick, Middlesex County"
JeffreyMagahanParsippany,2,Jeffrey Magahan,"Parsippany, Morris County"
JeffreyKriegerWildwood,2,Jeffrey Krieger,"Wildwood, Cape May County"
JeffreyGSchawNewfield,2,Jeffrey G Schaw,"Newfield, Gloucester County"
RobertShermanRobbinsville,2,Robert Sherman,"Robbinsville, Mercer County"
JeffreySGreenemeirPohatcong,2,Jeffrey Greenemeir,"Pohatcong, Warren County"
RobertSkalskiBayonne,2,Robert Skalski,"Bayonne, Hudson County"
JeffreyGonzalezNorthBergen,2,Jeffrey Gonzalez,"North Bergen, Hudson County"
JeffreyFAndersonLinden,2,Jeffrey F Anderson,"Linden, Union County"
JeffreyDSeminarioUnionCity,2,Jeffrey D Seminario,"Union City, Hudson County"
JeffreyDMattsonBelmar,2,Jeffrey D Mattson,"Belmar, Monmouth County"
JeffreyDMacDonaldSeaGirt,2,Jeffrey D MacDonald,"Sea Girt, Monmouth County"
JeffreyDLatshawPointPleasantBeach,2,Jeffrey D Latshaw,"Point Pleasant Beach, Ocean County"
RobertSobocinskiParamus,2,Robert Sobocinski,"Paramus, Bergen County"
JeffreyDiakunczakEdison,2,Jeffrey Diakunczak,"Edison, Middlesex County"
JeffreyBeachamUnionBeach,2,Jeffrey Beacham,"Union Beach, Monmouth County"
RobertSStavolaGloucester,2,Robert S Stavola,"Gloucester, Camden County"
JeffreyADellaPiazzaEastHanover,2,Jeffrey A Della Piazza,"East Hanover, Morris County"
RobertStefanelliOrange,2,Robert Stefanelli,"Orange, Essex County"
JeffNixonRumson,2,Jeff Nixon,"Rumson, Monmouth County"
JeffLubertoNutley,2,Jeff Luberto,"Nutley, Essex County"
JeffreyLeeMargate,2,Jeffery K Lee,"Margate, Atlantic County"
JefferyCompesiHackensack,2,Jeffery Compesi,"Hackensack, Bergen County"
JeffreyDidykFairfield,2,Jeff Didyk,"Fairfield, Essex County"
JeffreyChristopherAvalon,2,Jeff Christopher,"Avalon, Cape May County"
RobertThuringEastBrunswick,2,Robert Thuring,"East Brunswick, Middlesex County"
RobertTierneyNewBrunswick,2,Robert Tierney,"New Brunswick, Middlesex County"
RobertTJonesEwing,2,Robert T Jones,"Ewing, Mercer County"
Jean-LouisCarneiroHarrison,2,Jean-Louis Carneiro,"Harrison, Hudson County"
RobertTKochBrick,2,Robert T Koch,"Brick, Ocean County"
RobertTKucTrenton,2,Robert T Kuc,"Trenton, Mercer County"
JDumengNewark,2,J Dumeng,"Newark, Essex County"
JDDickersonNJSP,2,J D Dickerson,"NJSP, State Police"
JDBlackNJSP,2,J D Black,"NJSP, State Police"
RobertTruppnerHoboken,2,Robert Truppner,"Hoboken, Hudson County"
RobertTSchlossbergWyckoff,2,Robert T Schlossberg,"Wyckoff, Bergen County"
JCzaplaBayonne,2,J Czapla,"Bayonne, Hudson County"
JCruzNJSP,2,J Cruz,"NJSP, State Police"
JCNelsonNewark,2,J C Nelson,"Newark, Essex County"
JCDeperiNJSP,2,J C Deperi,"NJSP, State Police"
JCastellariNJSP,2,J Castellari,"NJSP, State Police"
JCastellanosPaterson,2,J Castellands,"Paterson, Passaic County"
RobertWCaromanoWinslow,2,Robert W Caromano,"Winslow, Camden County"
RobertWhartenbyHamilton,2,Robert Whartenby,"Hamilton, Mercer County"
JCashAtlanticCity,2,J Cash,"Atlantic City, Atlantic County"
JCarratalaElizabeth,2,Joe Carratala,"Elizabeth, Union County"
JosephCanusoMedford,2,J Canuso,"Medford, Burlington County"
JBroadwayBurlingtonTown,2,J Broadway,"Burlington Town, Burlington County"
RobertZaneMedford,2,Robert Zale,"Medford, Burlington County"
RobertZarzyckiRahway,2,Robert Zarzycki,"Rahway, Union County"
JBRivaNJSP,2,J B Riva,"NJSP, State Police"
RobertZdanowiczBayonne,2,Robert Zdanowicz,"Bayonne, Hudson County"
RobinLLyndEggHarborTownship,2,Robin L Lynd,"Egg Harbor Township, Atlantic County"
JBOliveiraNJSP,2,J B Oliveira,"NJSP, State Police"
RobMillerBloomfield,2,Rob Miller,"Bloomfield, Essex County"
JayVandebeekLivingston,2,Jay Vandebeek,"Livingston, Essex County"
RoccoASimoneVoorhees,2,Rocco A Simone,"Voorhees, Camden County"
RoccoBelloniBelmar,2,Rocco P Belloni,"Belmar, Monmouth County"
JayneJonesOaklyn,2,Jayne Jones,"Oaklyn, Camden County"
JayDelDukeCamden,2,Jay A Del Duke,"Camden, Camden County"
JayAGerstiNorthWildwood,2,Jay A Gersti,"North Wildwood, Cape May County"
RoccoJLucciolaJerseyCity,2,Rocco J Lucciola,"Jersey City, Hudson County"
JavierJCamposAsburyPark,2,Javier J Campos,"Asbury Park, Monmouth County"
JavierAPerezNorthBergen,2,Javier Perez,"North Bergen, Hudson County"
RodneyAFlaneganBerkeley,2,Rodney A Flanegan,"Berkeley, Ocean County"
JasonWolfstirnCedarGrove,2,Jason Wolfstirn,"Cedar Grove, Essex County"
JasonWFretzGloucester,2,Jason W Fretz,"Gloucester, Camden County"
JasonTangorraHamburg,2,Jason Tangorra,"Hamburg, Sussex County"
JasonSnyderCherryHill,2,Jason Snyder,"Cherry Hill, Camden County"
JasonSmithEastRutherford,2,Jason Smith,"East Rutherford, Bergen County"
JasonSawyerHackensack,2,Jason Sawyer,"Hackensack, Bergen County"
JasonSalvatoreCherryHill,2,Jason Salvatore,"Cherry Hill, Camden County"
JasonRWoodruffWillingBoro,2,Jason R Woodruff,"Willing Boro, Burlington County"
JasonRMillerBerlinBoro,2,Jason R Miller,"Berlin Boro, Camden County"
JasonTRiversCedarGrove,2,Jason Rivers,"Cedar Grove, Essex County"
JasonRAlbaneseBridgewater,2,Jason R Albanese,"Bridgewater, Somerset County"
JasonPWoodheadTrenton,2,Jason P Woodhead,"Trenton, Mercer County"
JasonPWitkowskiMoorestown,2,Jason P Witkowski,"Moorestown, Burlington County"
RogerMooreWillingBoro,2,Roger Moore,"Willing Boro, Burlington County"
JasonPierriMontvale,2,Jason Pierri,"Montvale, Bergen County"
JasonPharesReadington,2,BLANK Phares,"Readington, Hunterdon County"
RogerTuohySouthBrunswick,2,Roger Tuohy,"South Brunswick, Middlesex County"
RogerWSchneiderBranchburg,2,Roger W Schneider,"Branchburg, Somerset County"
JasonPedersonLakewood,2,Jason Pederson,"Lakewood, Ocean County"
JasonPadillaWestOrange,2,Jason Padilla,"West Orange, Essex County"
JasonOxnerCarteret,2,Jason Oxner,"Carteret, Middlesex County"
RolandoRamosTrenton,2,Rolando Ramos,"Trenton, Mercer County"
RomanAMemoloLambertville,2,Roman A Memolo,"Lambertville, Hunterdon County"
RomanAPopowskiBayonne,2,Roman A Popowski,"Bayonne, Hudson County"
RomeliaVillegas-DiazCamden,2,Romelia Villegas-Diaz,"Camden, Camden County"
JasonMorrisonMendhamtwp,2,Jason Morrison,"Mendham twp, Morris County"
RonaldAAtlakOldBridge,2,Ronald A Atlak,"Old Bridge, Middlesex County"
JasonMerrittWestfield,2,Jason Merritt,"Westfield, Union County"
JasonMDavisMantua,2,Jason M Davis,"Mantua, Gloucester County"
JasonLiabanMaywood,2,Jason Liaban,"Maywood, Bergen County"
JasonKangasCliffsidePark,2,Jason Kangas,"Cliffside Park, Bergen County"
RonaldBohannonGarfield,2,Ronald Bohannon,"Garfield, Bergen County"
JasonJILLEGIBLEClifton,2,Jason J ILLEGIBLE,"Clifton, Passaic County"
JasonHiterRoseland,2,Jason Hiter,"Roseland, Essex County"
JasonGittensGloucester,2,Jason Gittens,"Gloucester, Camden County"
JasonDeLuccaPaterson,2,Jason DeLucca,"Paterson, Passaic County"
RonaldCLehmCamden,2,Ronald C Lehm,"Camden, Camden County"
JasonDelturcoRandolph,2,Jason Delturco,"Randolph, Morris County"
JasonPDeBartolomeisLakewood,2,Jason DeBartolomeis,"Lakewood, Ocean County"
JasonDauntonBridgewater,2,Jason Daunton,"Bridgewater, Somerset County"
JasonD'AgostinoCranford,2,Jason D'Agostino,"Cranford, Union County"
RonaldFrostBloomingdale,2,Ronald Frost,"Bloomingdale, Passaic County"
JasonCarranoLivingston,2,Jason Carrano,"Livingston, Essex County"
JasonCancelPassaic,2,Jason Cancel,"Passaic, Passaic County"
JasonBLowenfeldWestMilford,2,Jason B Lowenfeld,"West Milford, Passaic County"
RonaldJLombardoWaterford,2,Ronald J Lombardo,"Waterford, Camden County"
RonaldJohnsonEnglewood,2,Ronald Johnson,"Englewood, Bergen County"
JasonBernasconiPaterson,2,Jason Bernasconi,"Paterson, Passaic County"
RonaldJWenzelLincolnPark,2,Ronald J Wenzel,"Lincoln Park, Morris County"
JasonBBouchardTrenton,2,Jason B Bouchard,"Trenton, Mercer County"
JasonAVigneaultManalapan,2,Jason A Vigneault,"Manalapan, Monmouth County"
RonaldMacPhersonNorthWildwood,2,Ronald N MacPherson,"North Wildwood, Cape May County"
JasonAppelloNorthBergen,2,Jason Appello,"North Bergen, Hudson County"
JasonAMandatoPlainsboro,2,Jason A Mandato,"Plainsboro, Middlesex County"
RonaldMGirardNorthBrunswick,2,Ronald M Girard,"North Brunswick, Middlesex County"
JasonAHildebrandtLongBeachTownship,2,Jason A Hildebrandt,"Long Beach Township, Ocean County"
JasonACastilloNorthBergen,2,Jason A Castillo,"North Bergen, Hudson County"
JasonACardamoniEatontown,2,Jason A Cardamoni,"Eatontown, Monmouth County"
RonaldPKoonsEggHarborTownship,2,Ronald P Koons,"Egg Harbor Township, Atlantic County"
RonaldPortaRingwood,2,Ronald Porta,"Ringwood, Passaic County"
JashanCarterOrange,2,Jashan Carter,"Orange, Essex County"
JarredSchmiedhauserButler,2,Jarred Schmiedhauser,"Butler, Morris County"
JarradKodranFreehold,2,Jarrad Kodran,"Freehold, Monmouth County"
JohnAriasSeaBright,2,J Arias,"Sea Bright, Monmouth County"
JaredMartoranaCherryHill,2,Jared Martorana,"Cherry Hill, Camden County"
JaredIngenitoAtlanticCity,2,Jared Ingenito,"Atlantic City, Atlantic County"
RonaldWaldtEnglewoodCliffs,2,Ronald Waldt,"Englewood Cliffs, Bergen County"
JaredFlynnTintonFalls,2,Jared Flynn,"Tinton Falls, Monmouth County"
JaredWAdamsSouthOrange,2,Jared Adams,"South Orange, Essex County"
RonnieVillalobosPassaic,2,Ronnie Villalobos,"Passaic, Passaic County"
RonnyTabordaClark,2,Ronny Taborda,"Clark, Union County"
JanosMBojtosBoundBrook,2,Janos Bojtos,"Bound Brook, Somerset County"
RonoldyMartinezNewBrunswick,2,Ronoldy Martinez,"New Brunswick, Middlesex County"
RonsonDJohnsonEastOrange,2,Ronson D Johnson,"East Orange, Essex County"
RonyCruzElizabeth,2,Rony Cruz,"Elizabeth, Union County"
RoohrBLANKBordentownTown,2,Roohr BLANK,"Bordentown Town, Burlington County"
ROrtiz-CruzBurlingtonTown,2,R Ortiz-Cruz,"Burlington Town, Burlington County"
JanixzaDomenechJerseyCity,2,Janixza Domenech,"Jersey City, Hudson County"
JamieNorekSouthAmboy,2,Jamie Norek,"South Amboy, Middlesex County"
JamieLMorrisWoodbury,2,Jamie L Morris,"Woodbury, Gloucester County"
RosarioDomicoloClifton,2,Rosario Domicolo,"Clifton, Passaic County"
JamieLambingBurlingtonCIty,2,Jamie Lambing,"Burlington City, Burlington County"
JamesZRaicsFranklin,2,James R Raics,"Franklin, Somerset County"
JamesWinandCarlstadt,2,James Winand,"Carlstadt, Bergen County"
RosemarieJAddarTrenton,2,Rosemarie J Addar,"Trenton, Mercer County"
JamesWeistCherryHill,2,James Weist,"Cherry Hill, Camden County"
RossADominianniRingwood,2,Ross A Dominianni,"Ringwood, Passaic County"
JamesVMullarneyWoodbridge,2,James V Mullarney,"Woodbridge, Middlesex County"
JamesVardanegaLawrence,2,James Vardanega,"Lawrence, Mercer County"
JamesTKeaneMetuchen,2,James T Keane,"Metuchen, Middlesex County"
RoyAVasquezNewark,2,Roy A Vasquez,"Newark, Essex County"
JamesTEdgarLinden,2,James T Edgar,"Linden, Union County"
JamesStaepelCherryHill,2,James Staepel,"Cherry Hill, Camden County"
RoyKesenciCliffsidePark,2,Roy Kesenci,"Cliffside Park, Bergen County"
JamesSProsinskiMiddletown,2,James S Prosinski,"Middletown, Monmouth County"
RPBeckerNJSP,2,R P Becker,"NJSP, State Police"
RPisanoNewark,2,R Pisano,"Newark, Essex County"
JamesSKlesneyHopewelltwp,2,James S Klesney,"Hopewell twp, Mercer County"
JamesSHaemmerleWestNewYork,2,James S Haemmerle,"West New York, Hudson County"
RSchlossbergWyckoff,2,R Schlossberg,"Wyckoff, Bergen County"
JamesRotundoPalisadesPark,2,James Rotundo,"Palisades Park, Bergen County"
RSheppardNewark,2,Ras Sheppard,"Newark, Essex County"
JamesRomanoBloomfield,2,James Romano,"Bloomfield, Essex County"
JamesRMooreRobbinsville,2,James R Moore,"Robbinsville, Mercer County"
RSullivanBurlingtonTown,2,R Sullivan,"Burlington Town, Burlington County"
JamesPEdwardsBridgewater,2,James P Edwards,"Bridgewater, Somerset County"
RTStecNJSP,2,R T Stec,"NJSP, State Police"
RuandyMendozaJerseyCity,2,Ruandy Mendoza,"Jersey City, Hudson County"
JamesPCreccoJerseyCity,2,James P Crecco,"Jersey City, Hudson County"
RubenHFunesWestNewYork,2,Ruben H Funes,"West New York, Hudson County"
JamesNIsacsonNeptuneCity,2,James N Isacson,"Neptune City, Monmouth County"
JamesMVanEttenNeptuneCity,2,James M Van Etten,"Neptune City, Monmouth County"
JamesMJoinerManalapan,2,James M Joiner,"Manalapan, Monmouth County"
JamesMelilloBelleville,2,James Melillo,"Belleville, Essex County"
JamesMCollinsWestWindsor,2,James M Collins,"West Windsor, Mercer County"
JamesMClaytonNeptuneCity,2,James M Clayton,"Neptune City, Monmouth County"
JamesMcGuinnessMountLaurel,2,James McGuinness,"Mount Laurel, Burlington County"
RuiMEncarnacaoNorthArlington,2,Rui M Encarnacao,"North Arlington, Bergen County"
JamesMartinezPrinceton,2,James Martinez,"Princeton, Mercer County"
JamesMAlbaneseManasquan,2,James M Albanese,"Manasquan, Monmouth County"
JamesMacIntoshRiverdale,2,James MacIntosh,"Riverdale, Morris County"
JamesLMarkoskiBeachHaven,2,James L Markoski,"Beach Haven, Ocean County"
RussellCVanHoutenNetcong,2,Russell C Van Houten,"Netcong, Morris County"
JamesLavignaRochellePark,2,James Lavigna,"Rochelle Park, Bergen County"
JamesRKraussMorristown,2,James Krauss,"Morristown, Morris County"
RussellJDunlopBridgewater,2,Russell J Dunlop,"Bridgewater, Somerset County"
JamesKnepperHawthorne,2,James Knepper,"Hawthorne, Passaic County"
JamesWKennedyBranchburg,2,James Kennedy,"Branchburg, Somerset County"
RussellMollerOceanTownship,2,Russell Moller,"Ocean Township, Ocean County"
JamesKarasNorthBrunswick,2,James Karas,"North Brunswick, Middlesex County"
JamesJKellyMonroe,2,James J Kelly,"Monroe, Gloucester County"
JamesJDebbieMountainside,2,James J Debbie,"Mountainside, Union County"
JamesIsacsonNeptuneCity,2,James Isacson,"Neptune City, Monmouth County"
JohnYarnellBridgewater,2,Russell Yarnell,"Bridgewater, Somerset County"
RWHopekNJSP,2,R W Hopek,"NJSP, State Police"
RyanABradyHamilton,2,Ryan A Brady,"Hamilton, Atlantic County"
JamesIannielliRockawayTwp,2,James Iannielli,"Rockaway Twp, Morris County"
JamesIandoliHaledon,2,James Iandoli,"Haledon, Passaic County"
RyanAOsmolaDeptford,2,Ryan Osmola,"Deptford, Gloucester County"
JamesHTerrellJerseyCity,2,James Terrell,"Jersey City, Hudson County"
JamesHosieGuttenberg,2,James Hosie,"Guttenberg, Hudson County"
JamesHoffmanHopewelltwp,2,James Hoffman,"Hopewell twp, Mercer County"
JamesHighLittleFalls,2,James High,"Little Falls, Passaic County"
JamesGrecoWestDeptford,2,James Greco,"West Deptford, Gloucester County"
JamesGrawehrHanover,2,James Grawehr,"Hanover, Morris County"
RyanBrennanLindenwold,2,Ryan Brennan,"Lindenwold, Camden County"
JamesGRamseyShrewsbury,2,James G Ramsey,"Shrewsbury, Monmouth County"
RyanCahillTuckerton,2,Ryan J Cahill,"Tuckerton, Ocean County"
RyanCDubielEdgewaterPark,2,Ryan C Dubiel,"Edgewater Park, Burlington County"
JamesGarramoneCliffsidePark,2,James Garramone,"Cliffside Park, Bergen County"
RyanCHennellyEatontown,2,Ryan C Hennelly,"Eatontown, Monmouth County"
JamesGArmstrongAtlanticCity,2,James G Armstrong,"Atlantic City, Atlantic County"
JamesFKavanaghPointPleasant,2,James F Kavanagh,"Point Pleasant, Ocean County"
JamesHoustonRoselle,2,James F Houston,"Roselle, Union County"
JamesFerraroMarlboro,2,James Ferraro,"Marlboro, Monmouth County"
JamesEPeckHoboken,2,James Peck,"Hoboken, Hudson County"
JamesEGrippMountLaurel,2,James E Gripp,"Mount Laurel, Burlington County"
JamesEGlaserUnionCity,2,James Glaser,"Union City, Hudson County"
RyanCullinaneShrewsbury,2,Ryan Cullinane,"Shrewsbury, Monmouth County"
RyanCurvingPaterson,2,Ryan Curving,"Paterson, Passaic County"
RyanDalyTintonFalls,2,Ryan J Daly,"Tinton Falls, Monmouth County"
JamesDWhiteWeehawken,2,James D White,"Weehawken, Hudson County"
JamesDUniWoodcliffLake,2,James D Uni,"Woodcliff Lake, Bergen County"
JamesDonatelloSouthHackensack,2,James Donatello,"South Hackensack, Bergen County"
JamesDolinskiMiddlesex,2,James Dolinski,"Middlesex, Middlesex County"
JamesDoddWestWildwood,2,James Dodd,"West Wildwood, Cape May County"
JamesDiMarcoCamden,2,James DiMarco,"Camden, Camden County"
RyanDunneWatchung,2,Ryan Dunne,"Watchung, Somerset County"
JamesDillonBlairstown,2,James Dillon,"Blairstown, Warren County"
JamesDIannaroneBrick,2,James D Iannarone,"Brick, Ocean County"
JamesDepretaRochellePark,2,James Depreta,"Rochelle Park, Bergen County"
JamesCVoightWayne,2,James C Voight,"Wayne, Passaic County"
RyanEHillMahwah,2,Ryan E Hill,"Mahwah, Bergen County"
RyanELaytonGreenwich,2,Ryan E Layton,"Greenwich, Gloucester County"
JamesCStokesJefferson,2,James C Stokes,"Jefferson, Morris County"
JamesCrowellRahway,2,James Crowell,"Rahway, Union County"
JamesCohenCamden,2,James Cohen,"Camden, Camden County"
JamesCMorleyMiddlesex,2,James C Morley,"Middlesex, Middlesex County"
JamesCMcNamaraFreehold,2,James C McNamara,"Freehold, Monmouth County"
JamesJChristieEatontown,2,James Christie,"Eatontown, Monmouth County"
JamesCHeebnerPohatcong,2,James C Heebner,"Pohatcong, Warren County"
RyanGNoonWyckoff,2,Ryan G Noon,"Wyckoff, Bergen County"
JamesCDolbierDelaware,2,James C Dolbier,"Delaware, Hunterdon County"
JamesCBartolucciBrick,2,James C Bartolucci,"Brick, Ocean County"
JamesBradyCamden,2,James Brady,"Camden, Camden County"
JamesBondEastOrange,2,James Bond,"East Orange, Essex County"
JamesBHuberVerona,2,James B Huber,"Verona, Essex County"
JamesBabcockParkRidge,2,James Babcock,"Park Ridge, Bergen County"
RyanHokansonElizabeth,2,Ryan Hokanson,"Elizabeth, Union County"
RyanHoytLittleFalls,2,Ryan Hoyt,"Little Falls, Passaic County"
JamesAWoodleyOceanTownship,2,James Woodley,"Ocean Township, Monmouth County"
JamesPArentzVentnorCity,2,James Arentz,"Ventnor City, Atlantic County"
JamesAManolioTuckerton,2,James Manolio,"Tuckerton, Ocean County"
JamesAMandevillePequannock,2,James A Mandeville,"Pequannock, Morris County"
JamesGAiosaSouthOrange,2,James Aiosa,"South Orange, Essex County"
RyanJEllingtonFranklin,2,Ryan J Ellington,"Franklin, Somerset County"
RyanJHoppockWoodbridge,2,Ryan J Hoppock,"Woodbridge, Middlesex County"
JamesAHighFairfield,2,James A High,"Fairfield, Essex County"
JamesAEspositoHamilton,2,James A Esposito,"Hamilton, Atlantic County"
JamalBenbowSouthBrunswick,2,Jamal Benbow,"South Brunswick, Middlesex County"
JaimePirchioVentnorCity,2,Jaime Pirchio,"Ventnor City, Atlantic County"
RyanJMaCalusoJerseyCity,2,Ryan J MaCaluso,"Jersey City, Hudson County"
JaimeJimenezWillingBoro,2,Jaime Jimenez,"Willing Boro, Burlington County"
RyanJMoteNorthPlainfield,2,Ryan J Mote,"North Plainfield, Somerset County"
JADonohueNJSP,2,J A Donohue,"NJSP, State Police"
JacobYanchyshynCherryHill,2,Jacob Yanchyshyn,"Cherry Hill, Camden County"
RyanJWellsNorthWildwood,2,Ryan J Wells,"North Wildwood, Cape May County"
JacobTKleinknechtManasquan,2,Jacob T Kleinknecht,"Manasquan, Monmouth County"
JacobRCustisPineHill,2,Jacob Custis,"Pine Hill, Camden County"
JacobBEdelmanSouthRiver,2,Jacob B Edelman,"South River, Middlesex County"
JackWLyonPequannock,2,Jack W Lyon,"Pequannock, Morris County"
RyanKimbleBurlingtonTown,2,Ryan Kimble,"Burlington Town, Burlington County"
RyanKluzTenafly,2,Ryan Kluz,"Tenafly, Bergen County"
JackNiemynskiRoxbury,2,Jack Niemynski,"Roxbury, Morris County"
JackJArmstrongEvesham,2,Jack J Armstrong,"Evesham, Burlington County"
JackHSayeghSouthTomsRiver,2,Jack Sayegh,"South Toms River, Ocean County"
JackDHowardHillsborough,2,Jack D Howard,"Hillsborough, Somerset County"
JackCacamisParamus,2,Jack Cacamis,"Paramus, Bergen County"
JABurkeNJSP,2,J A Burke,"NJSP, State Police"
IvelisseJohnsonNewark,2,Ivelisse Johnson,"Newark, Essex County"
IvanSRobertsRoselle,2,Ivan S Roberts,"Roselle, Union County"
IsraelAcevedoJerseyCity,2,Israel Acevedo,"Jersey City, Hudson County"
RyanMarshWestOrange,2,Ryan Marsh,"West Orange, Essex County"
IsaiahCardinaleNutley,2,Isaiah Cardinale,"Nutley, Essex County"
IraHooperIrvington,2,Ira Hooper,"Irvington, Essex County"
IlyasMuhammadPlainfield,2,Ilyas Muhammad,"Plainfield, Union County"
ILLEGIBLEWilsonNewark,2,ILLEGIBLE Wilson,"Newark, Essex County"
RyanMeixsellBrielle,2,Ryan Meixsell,"Brielle, Monmouth County"
ILLEGIBLEWilsonFranklin,2,ILLEGIBLE Wilson,"Franklin, Somerset County"
ILLEGIBLEWilliamSecaucus,2,ILLEGIBLE William,"Secaucus, Hudson County"
ILLEGIBLETehlikianNewark,2,ILLEGIBLE Tehlikian,"Newark, Essex County"
ILLEGIBLESinghPaterson,2,ILLEGIBLE Singh,"Paterson, Passaic County"
ILLEGIBLEILLEGIBLESomerville,2,ILLEGIBLE ILLEGIBLE,"Somerville, Somerset County"
ILLEGIBLEILLEGIBLERoselle,2,ILLEGIBLE ILLEGIBLE,"Roselle, Union County"
RyanMMcAllisterWashington,2,Ryan M McAllister,"Washington, Gloucester County"
ILLEGIBLEILLEGIBLENeptuneTownship,2,ILLEGIBLE ILLEGIBLE,"Neptune Township, Monmouth County"
ILLEGIBLEILLEGIBLEBordentownTown,2,ILLEGIBLE ILLEGIBLE,"Bordentown Town, Burlington County"
ILLEGIBLEILLEGIBLEBayonne,2,ILLEGIBLE ILLEGIBLE,"Bayonne, Hudson County"
ILLEGIBLEGomezHoboken,2,ILLEGIBLE Gomez,"Hoboken, Hudson County"
ILLEGIBLECappettaSeasideHeights,2,ILLEGIBLE Cappetta,"Seaside Heights, Ocean County"
IGOlmedaNJSP,2,I G Olmeda,"NJSP, State Police"
RyanMVanDalindaMontvale,2,Ryan M Van Dalinda,"Montvale, Bergen County"
HusseinSaraNewark,2,Hussein Sara,"Newark, Essex County"
RyanOconnellAbsecon,2,Ryan Oconnell,"Absecon, Atlantic County"
HunterHBrockriedeWall,2,Hunter H Brockriede,"Wall, Monmouth County"
HubertMarkowskiHamilton,2,Hubert Markowski,"Hamilton, Mercer County"
RyanPCerroBridgewater,2,Ryan P Cerro,"Bridgewater, Somerset County"
HubertHendersonNewark,2,Hubert Henderson,"Newark, Essex County"
HowardWatkinsTrenton,2,Howard Watkins,"Trenton, Mercer County"
RyanPetersonEnglewoodCliffs,2,Ryan Peterson,"Englewood Cliffs, Bergen County"
HKBirudarajuNJSP,2,H K Birudaraju,"NJSP, State Police"
RyanPFriendJerseyCity,2,Ryan P Friend,"Jersey City, Hudson County"
HJKeenanNJSP,2,H J Keenan,"NJSP, State Police"
HiramMelendezGalloway,2,Hiram Melendez,"Galloway, Atlantic County"
RyanPMaguireMiddletown,2,Ryan P Maguire,"Middletown, Monmouth County"
HildaColonBergenfield,2,Hilda I Colon,"Bergenfield, Bergen County"
RyanRKillimettUniontownship,2,Ryan R Killimett,"Union township, Union County"
RyanRRushTomsRiver,2,Ryan R Rush,"Toms River, Ocean County"
HernandezThomasNewark,2,Hernandez Thomas,"Newark, Essex County"
RyanSBuckHighlandsBoro,2,Ryan S Buck,"Highlands Boro, Monmouth County"
HerminioCandelariaNewark,2,Herminio Candelaria,"Newark, Essex County"
HeribertoONeillJerseyCity,2,Heriberto ONeill,"Jersey City, Hudson County"
HerecColonElizabeth,2,Herec Colon,"Elizabeth, Union County"
HerbertKDoctorsOldBridge,2,Herbert K Doctors,"Old Bridge, Middlesex County"
RyanSDunneSeasideHeights,2,Ryan S Dunne,"Seaside Heights, Ocean County"
HerbertEGranadosWestOrange,2,Herbert E Granados,"West Orange, Essex County"
HenryPWasielewskiMaplewood,2,Henry P Wasielewski,"Maplewood, Essex County"
HenryDavisNewBrunswick,2,Henry Davis,"New Brunswick, Middlesex County"
HectorRodriguezUnionCity,2,Hector Rodriguez,"Union City, Hudson County"
RyanTrocanElizabeth,2,Ryan Trocan,"Elizabeth, Union County"
HectorJBotelloNorthBergen,2,Hector J Botello,"North Bergen, Hudson County"
HectorCifuentesElizabeth,2,Hector Cifuentes,"Elizabeth, Union County"
HeatherEGlogolichMorrisTownship,2,Heather Glogolich,"Morris Township, Morris County"
HeatherCastronovaWashington,2,Heather Castronova,"Washington, Bergen County"
RyanWeberHackensack,2,Ryan Weber,"Hackensack, Bergen County"
RyanWelchEastBrunswick,2,Ryan Welch,"East Brunswick, Middlesex County"
HeathJamesRidgewood,2,Health B James,"Ridgewood, Bergen County"
HBislNJSP,2,H Bisl,"NJSP, State Police"
RyanWilliamsMillville,2,Ryan Williams,"Millville, Cumberland County"
RyanWMeehanPointPleasantBeach,2,Ryan W Meehan,"Point Pleasant Beach, Ocean County"
HarryMurthaAtlanticHighlands,2,Harry Murtha,"Atlantic Highlands, Monmouth County"
SADuarteNJSP,2,S A Duarte,"NJSP, State Police"
SajanNPatelGalloway,2,Sajan N Patel,"Galloway, Atlantic County"
HarryHarrisonTeaneck,2,Harry Harrison,"Teaneck, Bergen County"
SalvatoreMD'AmicoRidgewood,2,Sal D'Amico,"Ridgewood, Bergen County"
HarryHuntMahwah,2,Harry F Hunt,"Mahwah, Bergen County"
HaroldWallaceIrvington,2,Harold Wallace,"Irvington, Essex County"
HaroldRobinsonPassaic,2,Harold Robinson,"Passaic, Passaic County"
HaroldPoloUnionCity,2,Harold Polo,"Union City, Hudson County"
HankDavisAtlanticCity,2,Hank Davis,"Atlantic City, Atlantic County"
SalvatoreCCipollaEdison,2,Salvatore C Cipolla,"Edison, Middlesex County"
HalinaZajacPassaic,2,Halina Zajac,"Passaic, Passaic County"
SalvatoreDSpartFlorence,2,Salvatore D Spart,"Florence, Burlington County"
GVAugeNJSP,2,G V Auge,"NJSP, State Police"
