officerid,sId,count,dept,name
KeithJonesNewark,1308,3,"Newark, Essex County",Keith Jones
PhilipMLandellWesthampton,1309,3,"Westhampton, Burlington County",Philip Landell
AndrewJBrewerWesthampton,1310,3,"Westhampton, Burlington County",Andrew Brewer
RichardAMellorNorthHanover,1311,3,"North Hanover, Burlington County",Richard Mellor
DennisMHainesPembertonBoro,1312,3,"Pemberton Boro, Burlington County",Dennis Haines
ChristopherTongringMorrisTownship,1313,3,"Morris Township, Morris County",Christopher Tongring
DavidBartoshekTomsRiver,1314,3,"Toms River, Ocean County",David Bartoshek
JohnCRossettiPemberton,1315,3,"Pemberton, Burlington County",John Rossetti
NicoleAdamsNewark,1316,3,"Newark, Essex County",Nicole Adams
JoshuaJDankaPemberton,1317,3,"Pemberton, Burlington County",Joshua Danka
GregoryBloniorzPemberton,1318,3,"Pemberton, Burlington County",Gregory Bloniorz
DanielJHubelMountHolly,1319,3,"Mount Holly, Burlington County",Daniel Hubel
MatthewRDeveckaTomsRiver,1320,3,"Toms River, Ocean County",Matthew Devecka
AnthonyTMarshallMapleShade,1321,3,"Maple Shade, Burlington County",Anthony Marshall
PeterPDelagarzaPemberton,1322,3,"Pemberton, Burlington County",Peter Delagarza
ArthurShinnPemberton,1323,3,"Pemberton, Burlington County",Arthur Shinn
DanielTMatthewsPemberton,1324,3,"Pemberton, Burlington County",Daniel Matthews
RyanPCarrMapleShade,1325,3,"Maple Shade, Burlington County",Ryan Carr
PeterBumanlagNewark,1326,3,"Newark, Essex County",Peter Bumanlag
JohnJHallMorrisTownship,1327,3,"Morris Township, Morris County",John Hall
KristenKovacsMountHolly,1328,3,"Mount Holly, Burlington County",Kovacs Blank
RalphCalelloNewark,1329,3,"Newark, Essex County",Ralph Calello
JoelReyesNewark,1330,3,"Newark, Essex County",Joel Reyes
RamonCandaleriaNewark,1331,3,"Newark, Essex County",Ramon Candaleria
BrandonGallozaMountHolly,1332,3,"Mount Holly, Burlington County",Brandon Galloza
DeanMRutkowskiMountLaurel,1333,3,"Mount Laurel, Burlington County",D Rutkowski
RobertGuildMorrisPlainsBoro,1334,3,"Morris Plains Boro, Morris County",Robert Guild
RobertJBennettMapleShade,1335,3,"Maple Shade, Burlington County",Robert Bennett
EricaAybarMountLaurel,1336,3,"Mount Laurel, Burlington County",Erica Aybar
KurtGeisingerMontville,1337,3,"Montville, Morris County",Kurt Geisinger
MichaelAnyzekMapleShade,1338,3,"Maple Shade, Burlington County",Michael Anyzek
CoreyDJonesMountLaurel,1339,3,"Mount Laurel, Burlington County",Corey Jones
MichaelPJoyMountLaurel,1340,3,"Mount Laurel, Burlington County",Michael Joy
PedroSantosNewark,1341,3,"Newark, Essex County",Pedro Santos
DominicVFabrizioPalmyra,1342,3,"Palmyra, Burlington County",Dominic Fabrizio
XavierValentineNewark,1343,3,"Newark, Essex County",Xavier Valentine
AaronHartyMountLaurel,1344,3,"Mount Laurel, Burlington County",A Harty
RobertBrownPalmyra,1345,3,"Palmyra, Burlington County",Robert Brown
MatthewPShawMapleShade,1346,3,"Maple Shade, Burlington County",Matthew Shaw
LeonardWernerMountLaurel,1347,3,"Mount Laurel, Burlington County",Leonard Werner
NicholasDiGirolamoMountLaurel,1348,3,"Mount Laurel, Burlington County",Nicholas DiGirolamo
RyanFarrellMorrisTownship,1349,3,"Morris Township, Morris County",Ryan Farrell
TobeyGRudolphMountLaurel,1350,3,"Mount Laurel, Burlington County",Tobey Rudolph
WilliamJBaskayMountLaurel,1351,3,"Mount Laurel, Burlington County",William Baskay
AnthonyRawaNewark,1352,3,"Newark, Essex County",Anthony Rawa
SeanABristowMountLaurel,1353,3,"Mount Laurel, Burlington County",Sean Bristow
OchiengDennardNewark,1354,3,"Newark, Essex County",Ochieng Dennard
JamesKrusieskiMountLaurel,1355,3,"Mount Laurel, Burlington County",James Krusieski
RuiDominguesNewark,1356,3,"Newark, Essex County",Rui Domingues
HeribertoFigueroaNewark,1357,3,"Newark, Essex County",Heriberto Figueroa
AntonioTavaresNewark,1358,3,"Newark, Essex County",Antonio Tavares
PaulNewmanEdgewaterPark,1359,3,"Edgewater Park, Burlington County",P Newman
DanielPSalduttiMontville,1360,3,"Montville, Morris County",Daniel Saldutti
MichaelWadeStafford,1361,3,"Stafford, Ocean County",Michael Wade
ScottEwanEdgewaterPark,1362,3,"Edgewater Park, Burlington County",Scott Ewan
KyleJMcPhillipsEdgewaterPark,1363,3,"Edgewater Park, Burlington County",Kyle McPhillips
DavidJMeenanEdgewaterPark,1364,3,"Edgewater Park, Burlington County",David Meenan
BasemZaghloulNewark,1365,3,"Newark, Essex County",Basem Zaghloul
JamesCosgroveNewark,1366,3,"Newark, Essex County",Jones Cosgrove
PhilipJMauroStafford,1367,3,"Stafford, Ocean County",Philip Mauro
SandraColonNewark,1368,3,"Newark, Essex County",Sandro Colon
HarpinderSinghEvesham,1369,3,"Evesham, Burlington County",Harpinder Singh
JasonJanoskiNetcong,1370,3,"Netcong, Morris County",Jason Janoski
JosephTMagnusEvesham,1371,3,"Evesham, Burlington County",Joseph Magnus
BrittneyLCellasioLumberton,1372,3,"Lumberton, Burlington County",Brittney Cellasio
JamesAManolioTomsRiver,1373,3,"Toms River, Ocean County",James Manolio
AnthonyDNippinsLumberton,1374,3,"Lumberton, Burlington County",Anthony Nippins
AnthonyCoppolellaNetcong,1375,3,"Netcong, Morris County",Anthony Coppolella
WalterLMillerEvesham,1376,3,"Evesham, Burlington County",Walter Miller
JosephAIucolinoEvesham,1377,3,"Evesham, Burlington County",Joseph Iucolino
TimothyJSchierozEvesham,1378,3,"Evesham, Burlington County",Timothy Schieroz
EdwardGBegollyLumberton,1379,3,"Lumberton, Burlington County",Edward Begolly
RobertZaneMedford,1380,3,"Medford, Burlington County",Robert Zane
TimothyJHanrahanEvesham,1381,3,"Evesham, Burlington County",Timothy Hanrahan
MarcusGOwensLumberton,1382,3,"Lumberton, Burlington County",Marcus Owens
JasonJSilkFlorence,1383,3,"Florence, Burlington County",Jason Silk
ZacharyVanFossenEvesham,1384,3,"Evesham, Burlington County",Zachary Van Fossen
AndrewBDoughertyEvesham,1385,3,"Evesham, Burlington County",Andrew Dougherty
MichaelScelfoNewark,1386,3,"Newark, Essex County",Michael Scelfo
ToddPBrownEvesham,1387,3,"Evesham, Burlington County",Todd Brown
JosephCanusoMedford,1388,3,"Medford, Burlington County",Joseph Canuco
JSamalonisMedford,1389,3,"Medford, Burlington County",Jeffery Samalonis
DavidPetersenEvesham,1390,3,"Evesham, Burlington County",David Petersen
KeithDHudsonMorristown,1391,3,"Morristown, Morris County",Keith Hudson
RobertCarboneMedford,1392,3,"Medford, Burlington County",Robert Carbone
MatthewVMirabellaMadison,1393,3,"Madison, Morris County",Matthew Mirabella
MarkILongLumberton,1394,3,"Lumberton, Burlington County",Mark Long
ThomasLarosaLumberton,1395,3,"Lumberton, Burlington County",Thomas Larosa
ThomasSCampbellEvesham,1396,3,"Evesham, Burlington County",Thomas Campbell
JonathanMGreenbergFlorence,1397,3,"Florence, Burlington County",Jonathan Greenberg
BrendanBriscoeMorristown,1398,3,"Morristown, Morris County",Brendan Briscoe
JohnFaulkenNewark,1399,3,"Newark, Essex County",John Faulken
BrianRYoungFlorence,1400,3,"Florence, Burlington County",Brian Young
JasonAShaferFlorence,1401,3,"Florence, Burlington County",Jason Shafer
JamesGreenMorristown,1402,3,"Morristown, Morris County",James Green
RyanEastridgeMountOlive,1403,3,"Mount Olive, Morris County",Ryan Eastridge
JosephMLongoMadison,1404,3,"Madison, Morris County",Joseph Longo
DanielSScullyFlorence,1405,3,"Florence, Burlington County",Daniel Scully
ChristopherBPowellFlorence,1406,3,"Florence, Burlington County",Chris Powell
MichaelHColbertEvesham,1407,3,"Evesham, Burlington County",Michael Colbert
EmmanuelMargaronisMorristown,1408,3,"Morristown, Morris County",Emmanuel Margaronis
TrevorShortEvesham,1409,3,"Evesham, Burlington County",Trevor Short
CraigWPerrelliMadison,1410,3,"Madison, Morris County",Craig Perrelli
JohnHarrisEdgewaterPark,1411,3,"Edgewater Park, Burlington County",John Harris
MichaelDUnleyEdgewaterPark,1412,3,"Edgewater Park, Burlington County",Michael Unley
DarioneHassellNewark,1413,3,"Newark, Essex County",Darione Hassell
MarianneWurtembergMountOlive,1414,3,"Mount Olive, Morris County",Marianne Wurtemberg
JoshuaLillagoreCinnaminson,1415,3,"Cinnaminson, Burlington County",Joshua Lillagore
JohnGannonCinnaminson,1416,3,"Cinnaminson, Burlington County",John Gannon
ChirstopherWMengesMoorestown,1417,3,"Moorestown, Burlington County",Chirstopher Menges
JohnSvendaWestwood,1418,3,"Westwood, Bergen County",John Svenda
MichaelCurranCinnaminson,1419,3,"Cinnaminson, Burlington County",Michael Curran
DanielDPascalMoorestown,1420,3,"Moorestown, Burlington County",Daniel Pascal
KevinMullaneyWestwood,1421,3,"Westwood, Bergen County",Kevin Mullaney
JeffreyJPascualMoorestown,1422,3,"Moorestown, Burlington County",Jeffrey Pascual
MichaelWSciscioneMountOlive,1423,3,"Mount Olive, Morris County",Michael Sciscione
KevinFBooneMadison,1424,3,"Madison, Morris County",Kevin Boone
JoaquinAyerbeNewark,1425,3,"Newark, Essex County",Joaquin Ayerbe
HernandezThomasNewark,1426,3,"Newark, Essex County",Hernandez Thomas
GeorgeHinesNewark,1427,3,"Newark, Essex County",George Hines
JessicaGroblewskiMountOlive,1428,3,"Mount Olive, Morris County",Jessica Groblewski
PaulPapamarkosMadison,1429,3,"Madison, Morris County",Paul Papamarkos
OswaldOsbourneNewark,1430,3,"Newark, Essex County",Oswald Osbourne
CaseyBGrimmMountOlive,1431,3,"Mount Olive, Morris County",Casey Grimm
MichaelHShepardEastampton,1432,3,"Eastampton, Burlington County",Michael Shepard
MannyMarquesNewark,1433,3,"Newark, Essex County",Manny Marques
RobertEdwardsMorristown,1434,3,"Morristown, Morris County",Robert Edwards
NatashaGreenNewark,1435,3,"Newark, Essex County",Natasha Green
TerrenceHresoBurlingtonTown,1436,3,"Burlington Town, Burlington County",Terrence Hreso
ScottVCareyBurlingtonTown,1437,3,"Burlington Town, Burlington County",Scott Carey
RubenFOrtiz-CruzBurlingtonTown,1438,3,"Burlington Town, Burlington County",Ruben Ortiz-Cruz
AdamKhoudjaMorristown,1439,3,"Morristown, Morris County",Adam Khoudja
RichardSullivanBurlingtonTown,1440,3,"Burlington Town, Burlington County",R Sullivan
RichardJMaertenBurlingtonCIty,1441,3,"Burlington City, Burlington County",Richard Maerten
LydellJamesNewark,1442,3,"Newark, Essex County",Lydell James
ShawnMorganNewark,1443,3,"Newark, Essex County",Shawn Morgan
MCasellaBurlingtonTown,1444,3,"Burlington Town, Burlington County",Michael Casella
PaulOttaviniaMountOlive,1445,3,"Mount Olive, Morris County",Paul Ottavinia
BruceLaferaMorristown,1446,3,"Morristown, Morris County",Bruce Lafera
MatthewTPletcherBurlingtonCIty,1447,3,"Burlington City, Burlington County",Matthew Pletcher
TaibuThomasNewark,1448,3,"Newark, Essex County",Taibu Thomas
EricKrouseMountOlive,1449,3,"Mount Olive, Morris County",Eric Krouse
RobertJIozziaMorristown,1450,3,"Morristown, Morris County",Robert Iozzia
PatrickJPowersTeaneck,1451,3,"Teaneck, Bergen County",Patrick Powers
WilliamGradyNewark,1452,3,"Newark, Essex County",William Grady
StephenMorenaTeaneck,1453,3,"Teaneck, Bergen County",Stephen Morena
MelissaBaileyRandolph,1454,3,"Randolph, Morris County",Melissa Bailey
JavierOrtizBurlingtonTown,1455,3,"Burlington Town, Burlington County",Javier Ortiz
WilliamJulianoPequannock,1456,3,"Pequannock, Morris County",William Juliano
ChristopherLBrownNewark,1457,3,"Newark, Essex County",Chris Brown
AngelRomeroNewark,1458,3,"Newark, Essex County",Angel Romero
DanielCaetanoNewark,1459,3,"Newark, Essex County",Daniel Caetano
ShawnSimmonsNewark,1460,3,"Newark, Essex County",Shawn Simmons
MariaMittiNewark,1461,3,"Newark, Essex County",Maria Mitti
RyanForsterBordentownTown,1462,3,"Bordentown Town, Burlington County",Ryan Forster
JamesVChiarielloBordentownTown,1463,3,"Bordentown Town, Burlington County",James Chiariello
BrandonRobersonBurlingtonTown,1464,3,"Burlington Town, Burlington County",Brandon Roberson
AnthonySuttonNewark,1465,3,"Newark, Essex County",Anthony Sutton
MichaelScaliseTeaneck,1466,3,"Teaneck, Bergen County",Michael Scalise
JessicaJMeyerBordentownTown,1467,3,"Bordentown Town, Burlington County",J Meyer
JamesBoettgerBeverly,1468,3,"Beverly, Burlington County",James Boettger
MichelleCoteNewark,1469,3,"Newark, Essex County",Michelle Cote
IsabelOrtegaNewark,1470,3,"Newark, Essex County",Isabel Ortega
BrettSommerRandolph,1471,3,"Randolph, Morris County",Brett Sommer
ChristopherCarbonaroRandolph,1472,3,"Randolph, Morris County",Christopher Carbonaro
AnthonyTrappaneseBurlingtonTown,1473,3,"Burlington Town, Burlington County",Anthony Trappanese
RyanTenneyWyckoff,1474,3,"Wyckoff, Bergen County",Ryan Tenney
JosephBernalNewark,1475,3,"Newark, Essex County",Joseph Bernal
DavidSpenceRandolph,1476,3,"Randolph, Morris County",David Spence
MarkRamosNewark,1477,3,"Newark, Essex County",Mark Ramos
JohnLabellaNewark,1478,3,"Newark, Essex County",John Labella
JonathanNPotterShipBottom,1479,3,"Ship Bottom, Ocean County",Jonathan Potter
ScottWaznisDelran,1480,3,"Delran, Burlington County",Scott Waznis
WilliamChristopherWyckoff,1481,3,"Wyckoff, Bergen County",William Christopher
MichaelNashShipBottom,1482,3,"Ship Bottom, Ocean County",Michael Nash
RobertCoyleRandolph,1483,3,"Randolph, Morris County",Robert Coyle
GiacomoGrecoRandolph,1484,3,"Randolph, Morris County",Giacomo Greco
BrianGallinaRandolph,1485,3,"Randolph, Morris County",Brian Gallina
ThomasTullyWyckoff,1486,3,"Wyckoff, Bergen County",Thomas Tully
PaulLPhilsonPequannock,1487,3,"Pequannock, Morris County",Paul Philson
CarlosOrbeNewark,1488,3,"Newark, Essex County",Carlos Orbe
XiomaraSantiagoNewark,1489,3,"Newark, Essex County",Xiomara Santiago
RyanGNoonWyckoff,1490,3,"Wyckoff, Bergen County",Ryan Noon
MichaelPuskasRandolph,1491,3,"Randolph, Morris County",Michael Puskas
AngelGonzalezNewark,1492,3,"Newark, Essex County",Angel Gonzalez
MarkCWilliamsDelran,1493,3,"Delran, Burlington County",Mark Williams
BasilWarrenDelanco,1494,3,"Delanco, Burlington County",Basil Warren
AjeenahMosleyNewark,1495,3,"Newark, Essex County",Ajeenah Mosley
MichaelAMegaraBeverly,1496,3,"Beverly, Burlington County",Michael Megara
RichardFlounoyNewark,1497,3,"Newark, Essex County",Richard Flounoy
MatthewRothJackson,1498,3,"Jackson, Ocean County",Matthew Roth
WayneLebakBordentownTown,1499,3,"Bordentown Town, Burlington County",Wayne Lebak
ArnoPetersTeaneck,1500,3,"Teaneck, Bergen County",Arno Peters
AnthonyCBiondiTeaneck,1501,3,"Teaneck, Bergen County",Anthony Biondi
FranciscoAmbrifiDelanco,1502,3,"Delanco, Burlington County",Francisco Ambrifi
JohnPejoskiJackson,1503,3,"Jackson, Ocean County",John Pejoski
ThomasCarusoTeaneck,1504,3,"Teaneck, Bergen County",Tom Caruso
MichaelJSungaTeaneck,1505,3,"Teaneck, Bergen County",Michael Sunga
GregoryKerrisonTeaneck,1506,3,"Teaneck, Bergen County",Gregory Kerrison
EdwardGarciaRockawayTwp,1507,3,"Rockaway Twp, Morris County",Edward Garcia
MarcFernandezParsippany,1508,3,"Parsippany, Morris County",Marc Fernandez
JohnHShepardDelran,1509,3,"Delran, Burlington County",John Shepard
MatthewJGasperDelran,1510,3,"Delran, Burlington County",Matthew Gasper
JoseAliceaNewark,1511,3,"Newark, Essex County",Jose Alicea
DavidFlynnRockawayBoro,1512,3,"Rockaway Boro, Morris County",David Flynn
StevenBWallisDelran,1513,3,"Delran, Burlington County",Steven Wallis
PeterLyaskoRockawayTwp,1514,3,"Rockaway Twp, Morris County",Peter Lyasko
DonaldLaskoJackson,1515,3,"Jackson, Ocean County",Donald Lasko
MaysaWashingtonNewark,1516,3,"Newark, Essex County",Maysa Washington
RyanKMatthewsDelran,1517,3,"Delran, Burlington County",Ryan Matthews
JeffreyHHamletDelran,1518,3,"Delran, Burlington County",Jeffrey Hamlet
JustinBrugnoliJackson,1519,3,"Jackson, Ocean County",Justin Brugnoli
JesusRivasNewark,1520,3,"Newark, Essex County",Jesus Rivas
MitchellKaftonJackson,1521,3,"Jackson, Ocean County",Mitchell Kafton
SaraHusseinNewark,1522,3,"Newark, Essex County",Sara Hussein
RogerHarrisNewark,1523,3,"Newark, Essex County",Roger Harris
SeanBannonSouthHackensack,1524,3,"South Hackensack, Bergen County",Sean Bannon
LeeMcNeilNewark,1525,3,"Newark, Essex County",Lee McNeil
GonzalezRamosNewark,1526,3,"Newark, Essex County",Gonzalez Ramos
JeffLamontRockawayTwp,1527,3,"Rockaway Twp, Morris County",Jeff Lamont
KyleStybeJackson,1528,3,"Jackson, Ocean County",Kyle Stybe
JulioParedesNewark,1529,3,"Newark, Essex County",Julio Paredes
CelsoVinuezaNewark,1530,3,"Newark, Essex County",Celso Vinueza
CarlosCruzNewark,1531,3,"Newark, Essex County",Carlos Cruz
MarvinMaduroNewark,1532,3,"Newark, Essex County",Marvin Maduro
JodiZuzeckWaldwick,1533,3,"Waldwick, Bergen County",Jodi Zuzeck
MaryNelsonJackson,1534,3,"Jackson, Ocean County",Mary Nelson
ArthurSalisburyJackson,1535,3,"Jackson, Ocean County",Arthur Salisbury
GregoryBogertRiverdale,1536,3,"Riverdale, Morris County",Gregory Bogert
GregoryLoweParsippany,1537,3,"Parsippany, Morris County",Gregory Lowe
JuanTorresNewark,1538,3,"Newark, Essex County",Juan Torres
JoaoOliveiraNewark,1539,3,"Newark, Essex County",Joao Oliveira
MikeReillyRiverdale,1540,3,"Riverdale, Morris County",Mike Reilly
LuisATorresNewark,1541,3,"Newark, Essex County",Luis Torres
ChristopherMorminoRidgewood,1542,3,"Ridgewood, Bergen County",Christopher Mormino
JeanetteBurgosNewark,1543,3,"Newark, Essex County",Jeanette Burgos
GeorgeVidalisJackson,1544,3,"Jackson, Ocean County",George Vidalis
MichaelSinclairWaldwick,1545,3,"Waldwick, Bergen County",Michael Sinclair
ReneCaldersonNewark,1546,3,"Newark, Essex County",Rene Calderson
FrederickJohnsonNewark,1547,3,"Newark, Essex County",Frederick Johnson
JuanFinesNewark,1548,3,"Newark, Essex County",Juan Fines
KyleParillRiverdale,1549,3,"Riverdale, Morris County",Kyle Parill
PeterRizzoloParsippany,1550,3,"Parsippany, Morris County",Peter Rizzolo
AllanGriffinParsippany,1551,3,"Parsippany, Morris County",Allan Griffin
MarkSantiagoNewark,1552,3,"Newark, Essex County",Mark Santiago
StevenMillerParsippany,1553,3,"Parsippany, Morris County",Steven Miller
TaraKilduffUpperSaddleRiver,1554,3,"Upper Saddle River, Bergen County",Tara Kilduff
ThomasNArmentoParsippany,1555,3,"Parsippany, Morris County",Thomas Armento
KevinWrightNewark,1556,3,"Newark, Essex County",Kevin Wright
GeorgeAlbertoNewark,1557,3,"Newark, Essex County",George Alberto
JordanBartoloneNewark,1558,3,"Newark, Essex County",Jordan Bartolone
StevenShortwayRidgewood,1559,3,"Ridgewood, Bergen County",Steven Shortway
PatrickTDiamondRiverEdge,1560,3,"River Edge, Bergen County",Patrick Diamond
SaulDelacruzNewark,1561,3,"Newark, Essex County",Saul DeLacruz
YolandaConcepcionNewark,1562,3,"Newark, Essex County",Yolanda Concepcion
MichaelLangeParkRidge,1563,3,"Park Ridge, Bergen County",Michael Lange
SherriDillardNewark,1564,3,"Newark, Essex County",Sherri Dillard
TiffanyGreenNewark,1565,3,"Newark, Essex County",Tiffany Green
EdwardHoweJackson,1566,3,"Jackson, Ocean County",Edward Howe
ChristopherBulgerRiverVale,1567,3,"River Vale, Bergen County",Christopher Bulger
BradSGilmoreRidgefieldPark,1568,3,"Ridgefield Park, Bergen County",Brad Gilmore
DerrickGoldenNewark,1569,3,"Newark, Essex County",Derrick Golden
BryanPaulRamsey,1570,3,"Ramsey, Bergen County",Bryan Paul
JuanMCosmeNewark,1571,3,"Newark, Essex County",Juan Cosme
CapoanoCraigRutherford,1572,3,"Rutherford, Bergen County",Capoano Craig
AdamMacalusoRamsey,1573,3,"Ramsey, Bergen County",Adam Macaluso
MichaelPoikansBerkeley,1574,3,"Berkeley, Ocean County",Michael Poikans
EmilySantiagoNewark,1575,3,"Newark, Essex County",Emily Santiago
JeffreySAlmerWashington,1576,3,"Washington, Morris County",Jeffrey Almer
GinaBrunoBeachwood,1577,3,"Beachwood, Ocean County",Gina Bruno
CraigWeberRamsey,1578,3,"Ramsey, Bergen County",Craig Weber
JohnGleasonParkRidge,1579,3,"Park Ridge, Bergen County",John Gleason
TimothyJMaddenWashington,1580,3,"Washington, Morris County",Timothy Madden
DominicManionJackson,1581,3,"Jackson, Ocean County",Dominic Manion
DonatoMonteTenafly,1582,3,"Tenafly, Bergen County",Donato Monte
RichFaloticoRamsey,1583,3,"Ramsey, Bergen County",Rich Falotico
DanielHoffmannParkRidge,1584,3,"Park Ridge, Bergen County",Daniel Hoffmann
AnthonyJCarloBarnegat,1585,3,"Barnegat, Ocean County",Anthony Carlo
TaraRichNewark,1586,3,"Newark, Essex County",Tara Rich
MooreCurtisRutherford,1587,3,"Rutherford, Bergen County",Moore Curtis
ChristopherEspositoRutherford,1588,3,"Rutherford, Bergen County",Esposito Christopher
LorenPorterNewark,1589,3,"Newark, Essex County",Loren Porter
KevinChervenRamsey,1590,3,"Ramsey, Bergen County",Kevin Cherven
AndrewAltmanBeachwood,1591,3,"Beachwood, Ocean County",Andrew Altman
VasiliPieratosRamsey,1592,3,"Ramsey, Bergen County",Vasili Pieratos
JacquelineLuthckeRidgewood,1593,3,"Ridgewood, Bergen County",Jacqueline Luthcke
ChrisBermudezRochellePark,1594,3,"Rochelle Park, Bergen County",Chris Bermudez
JosephTYoungbergRidgewood,1595,3,"Ridgewood, Bergen County",Joseph Youngberg
AlbertMBakerRidgefieldPark,1596,3,"Ridgefield Park, Bergen County",Albert Baker
GregoryDavisRidgefieldPark,1597,3,"Ridgefield Park, Bergen County",Gregory Davis
DaleSMadanRidgefieldPark,1598,3,"Ridgefield Park, Bergen County",Dale Madan
PeterBoltenRidgewood,1599,3,"Ridgewood, Bergen County",Peter Bolten
StevenHAlmeidaNewark,1600,3,"Newark, Essex County",Steven Almeida
AlexanderJBennettAtlanticCity,1601,3,"Atlantic City, Atlantic County",Alexander Bennett
AlbertSantelisesNewark,1602,3,"Newark, Essex County",Albert Santelises
TarikHaynesNewark,1603,3,"Newark, Essex County",Tarik Haynes
JeffreyVDesouzaNewark,1604,3,"Newark, Essex County",Jeffrey Desouza
AlexanderIMendozaNewark,1605,3,"Newark, Essex County",Alexander Mendoza
JerrellLathanAtlanticCity,1606,3,"Atlantic City, Atlantic County",Jerrell Lathan
CarlosRivasNewark,1607,3,"Newark, Essex County",Carlos Rivas
KanishaGAnthonyNewark,1608,3,"Newark, Essex County",Kanisha Anthony
ThomasGilardiAtlanticCity,1609,3,"Atlantic City, Atlantic County",Thomas Gilardi
XavielOPimentel-CastilloNewark,1610,3,"Newark, Essex County",Xaviel Pimentel-Castillo
MainorGPuertoSouthTomsRiver,1611,3,"South Toms River, Ocean County",Mainor Puerto
SeanPPettitAtlanticCity,1612,3,"Atlantic City, Atlantic County",Sean Pettit
GlenDemarcoBeachwood,1613,3,"Beachwood, Ocean County",Glen Demarco
SeanMaherWharton,1614,3,"Wharton, Morris County",Sean Maher
MarquayCherryAtlanticCity,1615,3,"Atlantic City, Atlantic County",Marquay Cherry
ShawnMcGuireCamden,1616,3,"Camden, Camden County",Shawn McGuire
BryanTDoelOldBridge,1617,3,"Old Bridge, Middlesex County",Bryan Doel
AmiynJones-BetheaAtlanticCity,1618,3,"Atlantic City, Atlantic County",Amiyn Jones-Bethea
MatthewJuniewiczAtlanticCity,1619,3,"Atlantic City, Atlantic County",Matthew Juniewicz
RyanJCahillBeachHaven,1620,3,"Beach Haven, Ocean County",Ryan Cahill
BrianCorvinusSouthTomsRiver,1621,3,"South Toms River, Ocean County",Brian Corvinus
JacobMillevoiAtlanticCity,1622,3,"Atlantic City, Atlantic County",Jacob Millevoi
JerryBaconBerkeley,1623,3,"Berkeley, Ocean County",Jerry Bacon
CynthiaRRongioneAtlanticCity,1624,3,"Atlantic City, Atlantic County",Cynthia Rongione
ThomasHoltonAtlanticCity,1625,3,"Atlantic City, Atlantic County",Thomas Holton
KevinSBradyAtlanticCity,1626,3,"Atlantic City, Atlantic County",Kevin Brady
JuliannESchwengerAtlanticCity,1627,3,"Atlantic City, Atlantic County",Juliann Schwenger
JohnLSmithAtlanticCity,1628,3,"Atlantic City, Atlantic County",John Smith
JaredPPaganoAtlanticCity,1629,3,"Atlantic City, Atlantic County",Jared Pagano
PhilipSchenaBeachwood,1630,3,"Beachwood, Ocean County",Philip Schena
RichardJohnsonAtlanticCity,1631,3,"Atlantic City, Atlantic County",Richard Johnson
MelvinMurrayAtlanticCity,1632,3,"Atlantic City, Atlantic County",Melvin Murray
DanielJRoeAtlanticCity,1633,3,"Atlantic City, Atlantic County",Daniel Roe
BryanAFlemingAtlanticCity,1634,3,"Atlantic City, Atlantic County",Bryan Fleming
DavidJMoodyBerkeley,1635,3,"Berkeley, Ocean County",David Moody
RodneyRuarkAtlanticCity,1636,3,"Atlantic City, Atlantic County",Rodney Ruark
CherrickMillsSeasideHeights,1637,3,"Seaside Heights, Ocean County",Cherrick Mills
DawnRiggsAtlanticCity,1638,3,"Atlantic City, Atlantic County",Dawn Riggs
JosephChiappettaCamden,1639,3,"Camden, Camden County",Joseph Chiapetta
ClintonSSeltzerAtlanticCity,1640,3,"Atlantic City, Atlantic County",Clint Seltzer
ChristianEJeffriesAtlanticCity,1641,3,"Atlantic City, Atlantic County",Chirstian Jeffries
JasonBPriorSouthTomsRiver,1642,3,"South Toms River, Ocean County",Jason Prior
DarylHallAtlanticCity,1643,3,"Atlantic City, Atlantic County",Daryl Hall
CraigMcEllenParamus,1644,3,"Paramus, Bergen County",Craig McEllen
MichaelCSchneidtSouthTomsRiver,1645,3,"South Toms River, Ocean County",Michael Schneidt
DonaldMcNairParamus,1646,3,"Paramus, Bergen County",Donald McNair
SeanNutlandParamus,1647,3,"Paramus, Bergen County",Sean Nutland
JesseJUrbanSeasideHeights,1648,3,"Seaside Heights, Ocean County",Jesse Urban
ChristopherEspositoParamus,1649,3,"Paramus, Bergen County",Christopher Esposito
SalvatoreLaferlitaParamus,1650,3,"Paramus, Bergen County",Salvatore Laferlita
JosephCullenParamus,1651,3,"Paramus, Bergen County",Joseph Cullen
BLANKDouglasSeasideHeights,1652,3,"Seaside Heights, Ocean County",Blank Douglas
HenryRammParamus,1653,3,"Paramus, Bergen County",Henry Ramm
WilliamPManisaRoxbury,1654,3,"Roxbury, Morris County",William Manisa
ChadEckertRoxbury,1655,3,"Roxbury, Morris County",Chad Eckert
BryanHNogowskiBarnegat,1656,3,"Barnegat, Ocean County",Bryan Nogowski
RobertAChampouillonSeasideHeights,1657,3,"Seaside Heights, Ocean County",Robert Champouillon
MarcGlantschnigParamus,1658,3,"Paramus, Bergen County",Marc Glantschnig
ShawnMBowensBerkeley,1659,3,"Berkeley, Ocean County",Shawn Bowens
StevenNepolaParamus,1660,3,"Paramus, Bergen County",Steven Nepola
FrankBrunoBerkeley,1661,3,"Berkeley, Ocean County",Bruno Blank
PabloGarciaCamden,1662,3,"Camden, Camden County",Pablo Garcia
NelsonPerezNewMilford,1663,3,"New Milford, Bergen County",Nelson Perez
